provider,backend,model,input_tokens,output_tokens,total_tokens,cached_input_tokens,reasoning_tokens,audio_input_tokens,audio_output_tokens,recorded_at_unix,prompt_user_message,prompt_system_message,attempt,total_attempts,attempt_status,error_type,error_code,error_message,will_retry,duration_ms,step,phase,cell_idx,cell_barcode,stage1_label,response_chars,json_parse_method
openai,OpenAIJSONCaller,qwen/qwen3.7-plus,227,1887,2114,0,1887,0,0,1787227676.886521,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""club cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,retry_error,ValueError,,OpenAI-compatible backend returned an empty response.,True,60522,stage2_program_query,precompute,-1,<precompute>,club cell,,
openai,OpenAIJSONCaller,qwen/qwen3.7-plus,232,2623,2855,0,2623,0,0,1787227696.5128896,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""bronchus fibroblast of lung""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,retry_error,ValueError,,OpenAI-compatible backend returned an empty response.,True,80149,stage2_program_query,precompute,-1,<precompute>,bronchus fibroblast of lung,,
openai,OpenAIJSONCaller,qwen/qwen3.7-plus,232,2316,2548,0,2316,0,0,1787227707.1509316,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""capillary endothelial cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,retry_error,ValueError,,OpenAI-compatible backend returned an empty response.,True,90787,stage2_program_query,precompute,-1,<precompute>,capillary endothelial cell,,
openai,OpenAIJSONCaller,qwen/qwen3.7-plus,227,2815,3042,0,2815,0,0,1787227796.9963417,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""ionocyte""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,retry_error,ValueError,,OpenAI-compatible backend returned an empty response.,True,91998,stage2_program_query,precompute,-1,<precompute>,ionocyte,,
openai,OpenAIJSONCaller,qwen/qwen3.7-plus,232,2845,3077,0,2845,0,0,1787227832.0741537,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""multiciliated epithelial cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,retry_error,ValueError,,OpenAI-compatible backend returned an empty response.,True,104043,stage2_program_query,precompute,-1,<precompute>,multiciliated epithelial cell,,
openai,OpenAIJSONCaller,qwen/qwen3.7-plus,232,3086,3318,0,3086,0,0,1787227834.6014714,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""capillary endothelial cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,2,4,retry_error,ValueError,,OpenAI-compatible backend returned an empty response.,True,125448,stage2_program_query,precompute,-1,<precompute>,capillary endothelial cell,,
openai,OpenAIJSONCaller,qwen/qwen3.7-plus,231,2811,3042,0,2811,0,0,1787227834.8195393,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""non-classical monocyte""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,retry_error,ValueError,,OpenAI-compatible backend returned an empty response.,True,93234,stage2_program_query,precompute,-1,<precompute>,non-classical monocyte,,
openai,OpenAIJSONCaller,qwen/qwen3.7-plus,234,2076,2310,0,2076,0,0,1787227860.998,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""pulmonary alveolar epithelial cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,retry_error,ValueError,,OpenAI-compatible backend returned an empty response.,True,80984,stage2_program_query,precompute,-1,<precompute>,pulmonary alveolar epithelial cell,,
openai,OpenAIJSONCaller,qwen/qwen3.7-plus,233,2449,2682,0,2449,0,0,1787227861.7610629,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""pulmonary alveolar type 1 cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,retry_error,ValueError,,OpenAI-compatible backend returned an empty response.,True,80533,stage2_program_query,precompute,-1,<precompute>,pulmonary alveolar type 1 cell,,
openai,OpenAIJSONCaller,qwen/qwen3.7-plus,231,1985,2216,0,1985,0,0,1787227865.9512517,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""respiratory basal cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,retry_error,ValueError,,OpenAI-compatible backend returned an empty response.,True,55701,stage2_program_query,precompute,-1,<precompute>,respiratory basal cell,,
