provider,backend,model,input_tokens,output_tokens,total_tokens,cached_input_tokens,reasoning_tokens,audio_input_tokens,audio_output_tokens,recorded_at_unix,prompt_user_message,prompt_system_message,attempt,total_attempts,attempt_status,will_retry,duration_ms,response_chars,json_parse_method,step,phase,cell_idx,cell_barcode,stage1_label
deepseek,OpenAIJSONCaller,deepseek-v4-flash,216,1302,1518,0,295,,,1785382983.6995695,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in nose.
  2. The most commonly confused neighboring cell types in nose.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in nose.
Return only the JSON.

A single cell in nose was annotated in a first pass as: ""brush cell of tracheobronchial tree""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,13238,2285,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,brush cell of tracheobronchial tree
deepseek,OpenAIJSONCaller,deepseek-v4-flash,211,1405,1616,0,363,,,1785382983.9089084,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in nose.
  2. The most commonly confused neighboring cell types in nose.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in nose.
Return only the JSON.

A single cell in nose was annotated in a first pass as: ""acinar cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,13450,2215,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,acinar cell
deepseek,OpenAIJSONCaller,deepseek-v4-flash,210,1448,1658,0,656,,,1785382985.0877662,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in nose.
  2. The most commonly confused neighboring cell types in nose.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in nose.
Return only the JSON.

A single cell in nose was annotated in a first pass as: ""lung macrophage""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,14615,1946,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,lung macrophage
deepseek,OpenAIJSONCaller,deepseek-v4-flash,214,1617,1831,0,470,,,1785382985.1245978,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in nose.
  2. The most commonly confused neighboring cell types in nose.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in nose.
Return only the JSON.

A single cell in nose was annotated in a first pass as: ""bronchus fibroblast of lung""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,14664,2573,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,bronchus fibroblast of lung
deepseek,OpenAIJSONCaller,deepseek-v4-flash,211,1532,1743,0,389,,,1785382985.1812527,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in nose.
  2. The most commonly confused neighboring cell types in nose.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in nose.
Return only the JSON.

A single cell in nose was annotated in a first pass as: ""elicited macrophage""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,14709,2604,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,elicited macrophage
deepseek,OpenAIJSONCaller,deepseek-v4-flash,210,1418,1628,0,286,,,1785382985.29025,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in nose.
  2. The most commonly confused neighboring cell types in nose.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in nose.
Return only the JSON.

A single cell in nose was annotated in a first pass as: ""B cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,14833,2411,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,B cell
deepseek,OpenAIJSONCaller,deepseek-v4-flash,216,1578,1794,0,708,,,1785382985.8424528,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in nose.
  2. The most commonly confused neighboring cell types in nose.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in nose.
Return only the JSON.

A single cell in nose was annotated in a first pass as: ""CD4-positive, alpha-beta T cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,15385,1959,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,"CD4-positive, alpha-beta T cell"
deepseek,OpenAIJSONCaller,deepseek-v4-flash,212,1591,1803,0,581,,,1785382986.1764417,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in nose.
  2. The most commonly confused neighboring cell types in nose.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in nose.
Return only the JSON.

A single cell in nose was annotated in a first pass as: ""dendritic cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,15705,2340,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,dendritic cell
deepseek,OpenAIJSONCaller,deepseek-v4-flash,212,1882,2094,0,450,,,1785382987.4951968,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in nose.
  2. The most commonly confused neighboring cell types in nose.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in nose.
Return only the JSON.

A single cell in nose was annotated in a first pass as: ""conventional dendritic cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,17024,2964,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,conventional dendritic cell
deepseek,OpenAIJSONCaller,deepseek-v4-flash,214,1621,1835,0,376,,,1785382987.515383,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in nose.
  2. The most commonly confused neighboring cell types in nose.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in nose.
Return only the JSON.

A single cell in nose was annotated in a first pass as: ""bronchial goblet cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,17055,2667,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,bronchial goblet cell
deepseek,OpenAIJSONCaller,deepseek-v4-flash,210,2107,2317,0,494,,,1785382987.7759612,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in nose.
  2. The most commonly confused neighboring cell types in nose.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in nose.
Return only the JSON.

A single cell in nose was annotated in a first pass as: ""ionocyte""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,17303,3627,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,ionocyte
deepseek,OpenAIJSONCaller,deepseek-v4-flash,215,2295,2510,0,1544,,,1785382990.7076561,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in nose.
  2. The most commonly confused neighboring cell types in nose.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in nose.
Return only the JSON.

A single cell in nose was annotated in a first pass as: ""alveolar adventitial fibroblast""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,20248,1915,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,alveolar adventitial fibroblast
deepseek,OpenAIJSONCaller,deepseek-v4-flash,216,2204,2420,0,952,,,1785382990.725898,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in nose.
  2. The most commonly confused neighboring cell types in nose.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in nose.
Return only the JSON.

A single cell in nose was annotated in a first pass as: ""CD8-positive, alpha-beta T cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,20268,2825,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,"CD8-positive, alpha-beta T cell"
deepseek,OpenAIJSONCaller,deepseek-v4-flash,210,2705,2915,0,1785,,,1785382994.1735718,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in nose.
  2. The most commonly confused neighboring cell types in nose.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in nose.
Return only the JSON.

A single cell in nose was annotated in a first pass as: ""T cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,23715,2237,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,T cell
deepseek,OpenAIJSONCaller,deepseek-v4-flash,211,1063,1274,128,355,,,1785382995.230138,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in nose.
  2. The most commonly confused neighboring cell types in nose.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in nose.
Return only the JSON.

A single cell in nose was annotated in a first pass as: ""natural killer cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,9939,1734,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,natural killer cell
