provider,backend,model,input_tokens,output_tokens,total_tokens,cached_input_tokens,reasoning_tokens,audio_input_tokens,audio_output_tokens,recorded_at_unix,prompt_user_message,prompt_system_message,attempt,total_attempts,attempt_status,will_retry,duration_ms,response_chars,json_parse_method,step,phase,cell_idx,cell_barcode,stage1_label
openai,OpenAIJSONCaller,openai/gpt-5.6-luna,223,1282,1505,0,411,0,0,1787229812.791916,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""bronchus fibroblast of lung""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,11064,2454,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,bronchus fibroblast of lung
openai,OpenAIJSONCaller,openai/gpt-5.6-luna,218,1265,1483,0,516,0,0,1787229812.9639254,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""B cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,11246,2254,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,B cell
openai,OpenAIJSONCaller,openai/gpt-5.6-luna,224,1474,1698,0,516,0,0,1787229815.2064593,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""epithelial cell of lower respiratory tract""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,13473,2738,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,epithelial cell of lower respiratory tract
openai,OpenAIJSONCaller,openai/gpt-5.6-luna,222,1519,1741,0,690,0,0,1787229815.3728406,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""alveolar adventitial fibroblast""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,13652,2405,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,alveolar adventitial fibroblast
openai,OpenAIJSONCaller,openai/gpt-5.6-luna,224,1688,1912,0,735,0,0,1787229815.8405116,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""CD8-positive, alpha-beta T cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,14120,2678,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,"CD8-positive, alpha-beta T cell"
openai,OpenAIJSONCaller,openai/gpt-5.6-luna,222,1605,1827,0,668,0,0,1787229816.1278253,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""bronchial goblet cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,14405,2713,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,bronchial goblet cell
openai,OpenAIJSONCaller,openai/gpt-5.6-luna,226,1835,2061,0,897,0,0,1787229816.3881564,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""CD1c-positive myeloid dendritic cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,14669,2687,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,CD1c-positive myeloid dendritic cell
openai,OpenAIJSONCaller,openai/gpt-5.6-luna,219,1602,1821,0,772,0,0,1787229816.4179783,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""acinar cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,14697,2394,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,acinar cell
openai,OpenAIJSONCaller,openai/gpt-5.6-luna,220,1771,1991,0,760,0,0,1787229816.4961743,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""elicited macrophage""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,14764,2974,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,elicited macrophage
openai,OpenAIJSONCaller,openai/gpt-5.6-luna,218,1825,2043,0,921,0,0,1787229816.83591,"This annotation may have minor inaccuracies, or may have been confused with a neighboring type.

Return a JSON object with gene programs for:
  1. The fine-grained subtypes of this cell type commonly found in lung parenchyma.
  2. The most commonly confused neighboring cell types in lung parenchyma.

Each key is a subtype/cell-type name; each value contains:
  ""genes"": list anywhere from 20 to 50 genes most specifically UPREGULATED in that subtype (HGNC symbols as they appear in RNA-seq count matrices, e.g. NKG7 not Nkg7)
  ""description"": one-sentence biological description

Include 3-5 subtypes total. Focus on subtypes commonly found in lung parenchyma.
Return only the JSON.

A single cell in lung parenchyma was annotated in a first pass as: ""T cell""
",You are an expert computational biologist specializing in single-cell transcriptomics. Respond ONLY with a valid JSON object.,1,4,success,False,15115,2590,direct_json_loads,stage2_program_query,precompute,-1,<precompute>,T cell
